user_id,process_sequence
user_0,"[[37.858983271879104, ""process_6""], [41.31364810167643, ""process_36""], [16.843944316324723, ""process_5""], [10.620354936670989, ""process_32""], [18.161244222479144, ""process_19""], [36.364921605794606, ""process_37""], [39.87103506225353, ""process_44""], [14.70583964899775, ""process_28""]]"
user_0,"[[14.499070811916054, ""process_47""], [16.929731411942758, ""process_33""], [7.482407037644943, ""process_1""], [16.381058380319303, ""process_21""], [9.564115445056698, ""process_5""]]"
user_0,"[[36.50985151159146, ""process_38""], [40.13229078854205, ""process_35""], [15.896675544806358, ""process_26""], [9.597867756344716, ""process_32""], [39.522327290535756, ""process_4""], [15.818248371217111, ""process_36""]]"
user_0,"[[12.150302613323, ""process_28""], [16.401233132020465, ""process_26""], [12.618906283017125, ""process_1""], [30.78923524455235, ""process_12""], [30.24832770203726, ""process_16""], [19.919888084582563, ""process_41""], [17.014842004938966, ""process_26""], [36.16264748678977, ""process_7""]]"
user_0,"[[35.962657993785186, ""process_37""], [40.959011609816294, ""process_9""], [16.386364624069564, ""process_19""], [37.60944402616435, ""process_25""], [41.86721505236637, ""process_9""]]"
user_0,"[[14.722186419475662, ""process_47""], [15.263733349582486, ""process_17""], [11.175385729656373, ""process_1""], [39.349677096863715, ""process_49""], [17.038339579930682, ""process_19""]]"
user_0,"[[13.941553855702175, ""process_9""], [29.91188131824492, ""process_16""], [24.409155650527012, ""process_28""], [23.156423587798177, ""process_27""], [23.869505565683333, ""process_8""], [36.330261828522865, ""process_38""], [39.24956107626053, ""process_49""], [17.02656667619784, ""process_16""]]"
user_0,"[[13.518326612358122, ""process_47""], [31.34734761067458, ""process_10""], [22.07367263602902, ""process_10""], [24.08245626915678, ""process_39""], [33.56856981516804, ""process_24""], [22.255956021750713, ""process_10""], [24.715940409668516, ""process_19""], [23.640348584673966, ""process_8""]]"
user_0,"[[26.42027609302895, ""process_48""], [13.391245543778055, ""process_47""], [16.840014909094933, ""process_19""], [37.25053356339927, ""process_38""], [40.206175727821865, ""process_49""], [16.84456135437404, ""process_26""], [11.714759741353634, ""process_12""]]"
user_0,"[[11.824874756164867, ""process_47""], [16.91837002322175, ""process_36""], [11.238496297866254, ""process_14""], [16.51782562311063, ""process_26""], [9.860681618913134, ""process_14""], [22.271354048162625, ""process_0""], [18.31383767820665, ""process_45""]]"
user_0,"[[38.69733165487162, ""process_38""], [40.02162778853119, ""process_23""], [15.793489954381624, ""process_35""], [35.53497355665755, ""process_37""], [40.11849542985778, ""process_4""], [16.448750684381686, ""process_5""], [11.606696842609761, ""process_32""], [40.99181516524371, ""process_30""]]"
user_1,"[[36.92229041712463, ""process_25""], [17.480486059910074, ""process_36""], [30.546906591677164, ""process_31""], [19.182345715792746, ""process_42""], [13.843855508366149, ""process_49""], [34.34314080152657, ""process_40""], [22.110464732581093, ""process_0""], [35.533196861654666, ""process_25""]]"
user_1,"[[30.63140600945882, ""process_43""], [11.379451432532395, ""process_44""], [34.182649840502485, ""process_27""], [17.226425120524212, ""process_36""], [30.25084397206364, ""process_17""]]"
user_1,"[[35.91132941468344, ""process_42""], [9.996847701497247, ""process_1""], [34.05119065658727, ""process_27""], [16.969795746173848, ""process_33""], [39.5792416852539, ""process_10""], [28.513755399844, ""process_17""]]"
user_1,"[[36.163887458127874, ""process_32""], [31.49650099656857, ""process_16""], [23.830754615837364, ""process_10""], [19.760056205408382, ""process_42""], [12.238555521264034, ""process_47""], [37.2507896859037, ""process_25""]]"
user_1,"[[36.07721539943337, ""process_38""], [30.064654910902323, ""process_25""], [13.142898099804825, ""process_28""], [37.3015712197675, ""process_6""], [11.339780090964759, ""process_1""]]"
user_1,"[[36.57054037055208, ""process_6""], [29.558131013612694, ""process_14""], [19.69367368068872, ""process_44""], [22.22412508015488, ""process_8""], [25.551094857989757, ""process_31""], [26.627271821449252, ""process_3""]]"
user_1,"[[37.51629796125895, ""process_45""], [9.795940239276813, ""process_3""], [34.02039847338573, ""process_30""], [15.23025413981952, ""process_19""], [31.397852789458447, ""process_16""], [19.731088422490505, ""process_42""], [36.28964041179846, ""process_38""], [9.888882009499467, ""process_1""]]"
user_1,"[[36.384821519554585, ""process_38""], [28.672642228465563, ""process_41""], [19.375946620040686, ""process_45""], [37.01784835598583, ""process_38""], [28.517543691531223, ""process_17""], [20.038480921863613, ""process_0""], [35.33227265291089, ""process_30""]]"
user_1,"[[37.54486649489806, ""process_25""], [29.6764949653764, ""process_12""], [21.522318936887682, ""process_41""], [12.672394106168838, ""process_27""], [35.60253013340107, ""process_21""], [8.822490331319806, ""process_14""], [32.510385925454415, ""process_41""], [18.374676163036092, ""process_36""]]"
user_1,"[[38.27306488847457, ""process_37""], [11.280183903202886, ""process_35""], [41.170122838946185, ""process_9""], [20.170863169841027, ""process_0""], [24.464795560694377, ""process_26""], [25.782792680872827, ""process_18""], [31.062288708940162, ""process_2""], [21.326252650512927, ""process_44""]]"
user_1,"[[29.710930163604957, ""process_22""], [21.676514887061547, ""process_46""], [27.341414679787736, ""process_20""], [28.027687209651294, ""process_13""], [27.57134159066571, ""process_20""]]"
user_1,"[[34.74176612697366, ""process_6""], [29.871657317034977, ""process_43""], [20.010502959565855, ""process_45""], [15.0622232874159, ""process_11""], [32.95572303122652, ""process_17""], [19.86515051860218, ""process_41""], [22.907403392402536, ""process_8""], [27.204222042511688, ""process_20""]]"
user_1,"[[37.447219447606464, ""process_2""], [31.60608207650011, ""process_43""], [20.017856906666125, ""process_41""], [23.17981113149496, ""process_46""], [26.086456226008664, ""process_3""], [27.110094732548987, ""process_31""], [31.50064981479439, ""process_43""], [19.729415110458202, ""process_42""]]"
user_1,"[[36.995652216847205, ""process_25""], [8.940904466160468, ""process_34""], [35.41452516742936, ""process_39""], [30.536469688319457, ""process_16""], [21.126225600669045, ""process_35""], [24.4911950032, ""process_10""], [40.21850260159623, ""process_23""]]"
user_1,"[[36.65831324776082, ""process_12""], [29.74352824819534, ""process_43""], [37.82292696123616, ""process_1""], [32.6446558274809, ""process_17""], [20.572171639090374, ""process_41""], [14.616138910604151, ""process_14""]]"
user_1,"[[37.58017843229077, ""process_38""], [29.916313502933193, ""process_26""], [25.926833408425352, ""process_10""], [40.74425581203182, ""process_49""], [18.766975279622983, ""process_44""], [13.138155460603876, ""process_27""], [37.22222785202362, ""process_6""]]"
user_1,"[[35.65570127819716, ""process_5""], [29.759859566508766, ""process_12""], [19.21631787183578, ""process_26""], [25.381060362668265, ""process_27""], [27.698133644653154, ""process_3""], [27.634601359440634, ""process_13""], [29.68227077652841, ""process_12""], [18.165821416883894, ""process_44""]]"
user_1,"[[37.07011752384329, ""process_38""], [30.53965753935725, ""process_22""], [22.945510522981365, ""process_29""], [26.164487157272845, ""process_13""], [29.409219068145692, ""process_7""], [20.907417157794427, ""process_41""]]"
user_1,"[[35.73761668182451, ""process_25""], [29.885155122694236, ""process_7""], [19.057558223882033, ""process_44""], [23.104537387722715, ""process_8""], [25.880460387005904, ""process_26""], [27.232485655518857, ""process_38""]]"
user_1,"[[10.785258856536494, ""process_27""], [32.49392515259324, ""process_40""], [17.138639630236607, ""process_33""], [29.492276007089743, ""process_22""], [22.629681169199245, ""process_27""], [25.224685193850533, ""process_3""]]"
user_1,"[[36.77355340821053, ""process_7""], [28.178091831480174, ""process_47""], [19.20676122682486, ""process_21""], [11.76535994244111, ""process_15""], [35.82369014436763, ""process_6""]]"
user_1,"[[35.79574354757241, ""process_18""], [28.896061483887443, ""process_16""], [21.674214916422503, ""process_41""], [25.743815339936145, ""process_13""], [30.267966443543653, ""process_16""], [19.868024935061353, ""process_45""], [22.951878446901823, ""process_10""]]"
user_1,"[[36.273084770694155, ""process_38""], [10.234266349294087, ""process_15""], [40.810133042077965, ""process_9""], [21.670252588406658, ""process_41""], [12.909176321863045, ""process_47""], [33.17895324203505, ""process_24""], [15.494910512804006, ""process_19""]]"
user_1,"[[38.44160890343629, ""process_6""], [30.068987821512962, ""process_49""], [37.6577630116933, ""process_31""], [29.475420444954374, ""process_6""], [19.125084422019867, ""process_41""], [23.799649870767954, ""process_27""], [26.67639050847505, ""process_3""], [27.948622892207354, ""process_13""]]"
user_1,"[[37.72314678827669, ""process_6""], [29.003362942540758, ""process_16""], [21.044835568563034, ""process_41""], [12.525740102573732, ""process_8""], [22.304499012933174, ""process_27""], [20.27698224330398, ""process_0""], [13.103757794151319, ""process_8""], [31.764242224251888, ""process_30""]]"
user_1,"[[37.6409152503677, ""process_37""], [17.267957331979794, ""process_26""], [29.562991618019428, ""process_26""], [23.64519246028389, ""process_40""], [37.52988513671952, ""process_49""], [18.95487727321032, ""process_36""], [22.99211116001638, ""process_10""], [27.339843002436798, ""process_26""]]"
user_1,"[[36.52524264978357, ""process_29""], [29.493173489214634, ""process_22""], [22.690106088048434, ""process_29""], [27.469389515543188, ""process_5""], [31.608618069967488, ""process_43""], [20.965651580187853, ""process_41""], [13.691661917350267, ""process_38""]]"
user_1,"[[35.55954155831212, ""process_6""], [30.47440324873989, ""process_16""], [23.531174961196406, ""process_27""], [28.31203281869901, ""process_18""], [28.351036975574345, ""process_13""], [27.35845672933889, ""process_3""]]"
user_1,"[[13.53897255718779, ""process_37""], [36.34472909977688, ""process_32""], [15.93493820763352, ""process_33""], [30.118089146602355, ""process_12""], [19.145043586125208, ""process_44""], [24.066937481775035, ""process_27""], [28.136901904022338, ""process_18""]]"
user_1,"[[37.012745738362106, ""process_37""], [30.949488834943633, ""process_12""], [22.69401169467385, ""process_29""], [40.60767747038915, ""process_23""], [21.19910918907424, ""process_0""], [26.055029263919746, ""process_27""], [28.268916797331983, ""process_24""]]"
user_1,"[[37.08962973402773, ""process_38""], [29.47028029709986, ""process_43""], [24.06695088488777, ""process_29""], [26.41121147366405, ""process_2""], [26.590678726661594, ""process_13""], [28.60366281406037, ""process_16""], [22.240195030918844, ""process_42""], [12.356191329784837, ""process_30""]]"
user_1,"[[37.56875551052568, ""process_6""], [28.703579612457965, ""process_17""], [21.58782250759822, ""process_29""], [27.11444368647934, ""process_13""], [27.077129354827154, ""process_31""], [26.813236670008386, ""process_31""], [27.43261770991248, ""process_29""]]"
user_1,"[[37.25527857783305, ""process_6""], [9.383278325381252, ""process_1""], [34.01213651116669, ""process_39""], [16.721946974568635, ""process_26""], [30.640429414572836, ""process_12""], [22.19791840407142, ""process_15""], [27.377129100285455, ""process_18""]]"
user_1,"[[15.027684608120273, ""process_28""], [32.156130792169776, ""process_2""], [17.370975252313826, ""process_23""], [36.371635642716576, ""process_21""], [16.21674488865278, ""process_26""], [29.785901338438507, ""process_16""], [17.842605311259213, ""process_37""]]"
user_1,"[[12.93497578346881, ""process_47""], [36.121654267132854, ""process_38""], [29.088617287818078, ""process_16""], [20.084132716949203, ""process_44""], [13.989055054149942, ""process_11""], [33.465858097721025, ""process_39""], [18.172235432786653, ""process_33""]]"
user_1,"[[30.39219517592563, ""process_22""], [19.92368728253397, ""process_20""], [13.068781605850319, ""process_33""], [32.493656794852335, ""process_27""], [16.586592116163015, ""process_36""], [36.55875391374844, ""process_25""], [11.308340962793626, ""process_34""]]"
user_1,"[[36.12557429065084, ""process_27""], [9.28857037484048, ""process_32""], [33.843817985005025, ""process_34""], [15.933499227630447, ""process_36""], [36.17114709280599, ""process_38""], [28.346741685204588, ""process_37""], [23.102292309959214, ""process_29""]]"
user_1,"[[36.75756402619724, ""process_6""], [22.441202447596524, ""process_29""], [25.314378461153776, ""process_32""], [25.638391756549932, ""process_3""], [25.60029014433023, ""process_31""], [27.763869760961946, ""process_31""]]"
user_1,"[[36.05193368565859, ""process_7""], [30.10414940819888, ""process_16""], [20.160453018692515, ""process_0""], [12.80825601894882, ""process_47""], [37.84615960328495, ""process_38""], [28.457181593065528, ""process_43""], [20.941919607286298, ""process_44""], [13.252422137126288, ""process_45""]]"
user_1,"[[37.422524339330415, ""process_25""], [9.081223494767384, ""process_48""], [40.79029028887491, ""process_11""], [21.204314490246123, ""process_42""], [13.216850917616666, ""process_47""], [36.614828896840635, ""process_37""]]"
user_1,"[[35.21019956821318, ""process_15""], [22.017969951041266, ""process_8""], [27.437716217060085, ""process_31""], [25.707068153651587, ""process_8""], [27.274937050314882, ""process_31""], [26.7974198112226, ""process_31""], [25.209328942218942, ""process_20""], [27.384527223048348, ""process_3""]]"
user_1,"[[35.961038210084546, ""process_6""], [9.858443372720592, ""process_40""], [33.27766019598454, ""process_35""], [17.491988287603533, ""process_26""], [30.297082019381186, ""process_43""], [20.85636513342671, ""process_44""], [36.657437640840854, ""process_25""], [9.011266585583886, ""process_1""]]"
user_1,"[[35.47825113110725, ""process_37""], [28.968638172244788, ""process_16""], [23.158068762021898, ""process_46""], [39.897502498979804, ""process_23""], [18.942881654244836, ""process_42""], [23.715187977613613, ""process_29""], [25.42268617924889, ""process_16""], [24.64598628811028, ""process_18""]]"
user_1,"[[37.51540010626048, ""process_38""], [31.369441553199128, ""process_12""], [19.21923198468388, ""process_42""], [36.30210628810053, ""process_25""], [9.758335430737763, ""process_10""], [36.9576831974161, ""process_26""], [30.451543920290685, ""process_43""]]"
user_1,"[[35.78496757330476, ""process_38""], [16.05827498967815, ""process_33""], [29.830263738746215, ""process_12""], [20.420248413704453, ""process_0""], [22.413723640653895, ""process_29""], [27.568193499873395, ""process_18""], [26.40851041060233, ""process_16""]]"
user_1,"[[36.794502261887665, ""process_25""], [28.890311645556014, ""process_17""], [20.542677669324235, ""process_42""], [37.860394702328804, ""process_26""], [30.575008145566795, ""process_12""], [23.86150829037384, ""process_29""], [25.76996724265213, ""process_31""], [27.121576199295113, ""process_13""]]"
user_1,"[[36.26840163833696, ""process_38""], [29.994053014947696, ""process_43""], [19.782016455857985, ""process_0""], [14.570465808450194, ""process_7""], [35.46086598841244, ""process_37""], [15.53324716786643, ""process_46""]]"
user_1,"[[37.53389437160662, ""process_38""], [17.336834918054787, ""process_19""], [19.752235031955024, ""process_31""], [14.657798894278896, ""process_47""], [35.538061214115146, ""process_6""], [28.698241277254326, ""process_43""], [19.141786279011622, ""process_30""], [11.194831572648823, ""process_25""]]"
user_1,"[[36.417394056957086, ""process_25""], [29.362573659091204, ""process_49""], [21.28029002880478, ""process_44""], [12.73269981683655, ""process_12""], [35.446582332939975, ""process_38""], [9.38337736398009, ""process_14""]]"
user_1,"[[35.63652300433788, ""process_39""], [28.2144426966281, ""process_43""], [19.829955828955818, ""process_42""], [37.81621884723998, ""process_38""], [31.188498520864204, ""process_22""]]"
user_1,"[[36.612662204492636, ""process_37""], [29.736252070047442, ""process_43""], [20.96739477509174, ""process_42""], [13.482412576033658, ""process_47""], [32.440169378270596, ""process_26""], [16.803338855125723, ""process_36""], [8.337072426823736, ""process_1""], [32.58183317358273, ""process_40""]]"
user_1,"[[30.511380578261843, ""process_43""], [21.2337570307966, ""process_41""], [10.979153079696275, ""process_41""], [36.40588529081836, ""process_25""], [29.22724454884605, ""process_43""]]"
user_1,"[[35.97035580390396, ""process_13""], [16.95970806852121, ""process_26""], [36.96468246425819, ""process_6""], [11.374274860317453, ""process_48""], [33.74266175906636, ""process_24""], [19.57502827760411, ""process_45""], [12.353719059407382, ""process_47""]]"
user_1,"[[36.160317761981624, ""process_38""], [16.6569792982224, ""process_36""], [36.88070569983817, ""process_9""], [16.861542976815603, ""process_5""], [36.99381744542843, ""process_25""], [28.610741237980257, ""process_31""], [21.151730209092577, ""process_46""], [27.67015176169951, ""process_18""]]"
user_2,"[[36.11011803310556, ""process_21""], [31.59675828331953, ""process_37""], [23.004733574301447, ""process_44""], [13.420599675819814, ""process_13""], [34.28565457012415, ""process_40""], [17.278145873109725, ""process_33""], [30.518394142814195, ""process_16""]]"
user_2,"[[18.80038010622361, ""process_45""], [13.581855099802816, ""process_3""], [37.134378640667215, ""process_38""], [23.539865946440344, ""process_32""], [28.385642675329645, ""process_7""], [29.28757179456783, ""process_31""]]"
user_2,"[[35.2405980085843, ""process_38""], [29.45634685172789, ""process_22""], [21.09595972847182, ""process_45""], [13.501688317017361, ""process_29""], [35.10628571971479, ""process_49""], [23.81289478748737, ""process_29""]]"
user_2,"[[35.57359209566259, ""process_6""], [14.935502189118502, ""process_26""], [29.74391722471385, ""process_16""], [19.634755884784706, ""process_27""], [15.921157670303545, ""process_47""]]"
user_2,"[[12.251052781050356, ""process_15""], [36.49806663815905, ""process_27""], [29.957625023933694, ""process_12""], [12.504589900459807, ""process_15""], [33.12511771071629, ""process_40""], [14.897860178473904, ""process_36""], [18.909571067936273, ""process_44""]]"
user_2,"[[36.55128616889267, ""process_21""], [29.437020138478633, ""process_43""], [18.908158239340466, ""process_4""], [14.47681183503843, ""process_15""], [34.60134844353394, ""process_21""], [29.289897947547857, ""process_34""], [20.93494415965375, ""process_23""]]"
user_2,"[[13.143149198342105, ""process_40""], [33.43537153140149, ""process_30""], [17.176179773552946, ""process_5""], [36.650077651920085, ""process_33""], [9.244855964845378, ""process_0""], [23.850012797691395, ""process_10""], [27.9644635100393, ""process_20""], [25.600812838793857, ""process_3""]]"
user_2,"[[36.178424436676984, ""process_21""], [29.468673655366054, ""process_43""], [24.419486123078997, ""process_8""], [25.927851845233874, ""process_44""], [26.770711647267703, ""process_13""], [27.840107223901757, ""process_18""]]"
user_2,"[[38.06237024570066, ""process_6""], [31.017166585053758, ""process_43""], [21.16174532524035, ""process_41""], [12.24544137044865, ""process_2""], [29.59766849064719, ""process_22""], [21.91655700716249, ""process_29""]]"
user_2,"[[35.849505554355616, ""process_25""], [10.431845330154903, ""process_14""], [22.64044301840329, ""process_36""], [27.50798307054221, ""process_31""], [26.364269634267284, ""process_20""], [26.752173987861273, ""process_31""], [25.759280402620462, ""process_4""]]"
user_2,"[[19.321533746518412, ""process_0""], [12.618848876832685, ""process_13""], [33.638649456081886, ""process_30""], [17.57279558819116, ""process_19""], [35.46107913248893, ""process_10""], [10.549456320460022, ""process_35""], [40.30701543138925, ""process_4""]]"
user_2,"[[34.748534284941215, ""process_30""], [29.45285192736383, ""process_22""], [24.21342198866386, ""process_8""], [37.35330415758239, ""process_23""], [19.4946080175897, ""process_0""], [36.33831775732606, ""process_6""]]"
user_2,"[[37.20233931982511, ""process_6""], [30.753842378646265, ""process_44""], [20.19262814278357, ""process_42""], [35.984896818177226, ""process_37""], [30.89687648050312, ""process_16""], [24.1879499648668, ""process_29""], [26.119282715299438, ""process_18""], [27.071311147143152, ""process_3""]]"
user_2,"[[36.1999177085679, ""process_6""], [30.922800437668144, ""process_12""], [20.996666627418712, ""process_15""], [12.304669557673712, ""process_47""], [36.28964750981245, ""process_21""], [9.073745710846058, ""process_1""]]"
user_2,"[[36.991973358099585, ""process_12""], [29.87467310348281, ""process_22""], [23.187527954905516, ""process_10""], [25.719671207962612, ""process_3""], [27.29230120945564, ""process_18""]]"
user_2,"[[36.14573034966921, ""process_21""], [30.662801196286274, ""process_17""], [20.20159341955858, ""process_45""], [12.30911821603943, ""process_15""], [37.49689818138986, ""process_38""], [30.726168519141797, ""process_20""], [21.21392518260677, ""process_41""]]"
user_2,"[[35.127407754925684, ""process_22""], [29.38820792610703, ""process_16""], [18.749091139422276, ""process_45""], [23.344571470425308, ""process_29""], [18.83844298955478, ""process_22""], [22.932079291675745, ""process_22""], [25.27665788524168, ""process_13""], [27.118726773872172, ""process_3""]]"
user_2,"[[36.27252547109932, ""process_6""], [30.233901740964804, ""process_22""], [19.696691140820757, ""process_41""], [36.21914440025976, ""process_38""], [31.442721236232924, ""process_12""], [23.575643650483144, ""process_11""], [27.22002174443579, ""process_13""], [27.871252599496724, ""process_3""]]"
user_2,"[[12.35561375131158, ""process_47""], [37.18209391185221, ""process_21""], [16.343630527966216, ""process_19""], [30.926992444517204, ""process_32""], [20.01753852375155, ""process_44""], [22.973001212734154, ""process_29""], [27.62729094467956, ""process_18""], [26.374171964410817, ""process_20""]]"
user_2,"[[37.07259520422076, ""process_8""], [28.610665778020362, ""process_16""], [37.748506641742544, ""process_2""], [32.855127800856444, ""process_43""], [19.810373632996484, ""process_15""], [23.175455544138934, ""process_41""], [21.812563665480027, ""process_31""], [38.38234586316563, ""process_32""]]"
user_2,"[[36.41724349755004, ""process_38""], [27.22789282063516, ""process_12""], [13.219576111418032, ""process_29""], [35.57019578712123, ""process_25""], [29.233275318986152, ""process_22""], [20.385741505575275, ""process_42""], [35.49838529620855, ""process_26""]]"
user_2,"[[35.33756652210013, ""process_10""], [8.838084058075468, ""process_1""], [40.538050457308834, ""process_4""], [22.070817723935484, ""process_0""], [12.731142842302068, ""process_7""]]"
user_2,"[[35.21854863174866, ""process_3""], [29.31484527451262, ""process_17""], [24.701339572806248, ""process_31""], [20.853928820291948, ""process_22""], [12.561186843003021, ""process_28""], [34.06597120019677, ""process_22""]]"
user_2,"[[36.80895746530213, ""process_19""], [31.874958423848565, ""process_31""], [34.048598217783805, ""process_38""], [28.713492667844758, ""process_43""], [21.096402424594693, ""process_0""], [15.058085441563943, ""process_7""]]"
user_2,"[[35.951899169497466, ""process_44""], [31.124327713810843, ""process_22""], [24.345586008064114, ""process_16""], [40.25341413763362, ""process_4""], [20.58085987085429, ""process_42""]]"
user_2,"[[36.105050940047235, ""process_11""], [22.410507353826958, ""process_29""], [26.551485575509076, ""process_24""], [26.974195469190516, ""process_40""], [26.93677790022447, ""process_45""], [28.08575164565519, ""process_45""], [26.77927664097842, ""process_33""], [27.5742962162987, ""process_18""]]"
user_2,"[[37.26643898448335, ""process_25""], [9.807073245708867, ""process_40""], [33.04027670778694, ""process_11""], [16.71823541098473, ""process_36""], [21.801825145935155, ""process_45""]]"
user_2,"[[37.923088725498985, ""process_21""], [28.7845427629921, ""process_43""], [22.999898647709664, ""process_13""], [26.287533621974738, ""process_3""], [25.682319682361296, ""process_11""], [24.903172685684282, ""process_18""], [29.82288603806321, ""process_43""]]"
